query;clicks;conv_rate_fci;fci_conv;fci_ogp;gp_user_fci;gppi_fci;impressions;lci_conv;lci_ogp;search_ctr;search_counts;unique_users
yacht;790;0.001;1;383.495391846;0.86372836;0.037167609;10318;1;383.495391846;0.4273;1849;444
ya;61;0.003;1;3.480999947;0.011840136;0.003274694;1063;1;3.480999947;0.181;337;294
y;14;0.0;0;0.0;0.0;0.0;1670;0;0.0;0.0187;750;687
xtreme;50;0.02;6;10.737998486;0.052637247;0.008801638;1220;5;90.90199995;0.1701;294;204
xray;9;0.0;0;0.0;0.0;0.0;379;0;0.0;0.15;60;29
xgolf;15;0.0;0;0.0;0.0;0.0;565;0;0.0;0.1546;97;50
xeomin;1551;0.014;29;1801.055006027;2.840780767;0.17102412;10531;29;1815.318311691;0.7337;2114;634
xe;34;0.01;1;183.76109314;2.483258015;0.474834866;387;1;183.76109314;0.3301;103;74
xcaret;77;0.0;0;0.0;0.0;0.0;497;0;0.0;0.4556;169;94
xbox games;0;0.0;0;0.0;0.0;0.0;418;0;0.0;0.0;44;4
xbox game pass;2;0.0;0;0.0;0.0;0.0;633;0;0.0;0.0182;110;43
xbox;61;0.0;0;0.0;0.0;0.0;1871;0;0.0;0.1326;460;282
x golf;22;0.008;1;4.550000191;0.084259263;0.006546763;695;0;0.0;0.1849;119;54
x;16;0.002;1;56.539001465;0.109784469;0.038331526;1475;1;56.539001465;0.0277;578;515
wyze;61;0.029;5;11.159900427;0.18599834;0.012117156;921;5;11.159900427;0.3506;174;60
wynwood;31;0.0;0;0.0;0.0;0.0;690;0;0.0;0.2067;150;33
wyndham resorts;1;0.0;0;0.0;0.0;0.0;407;0;0.0;0.0095;105;1
wyndham;40;0.0;0;0.0;0.0;0.0;946;0;0.0;0.2128;188;75
wy;4;0.0;0;0.0;0.0;0.0;393;0;0.0;0.0305;131;109
wwe;35;0.0;0;0.0;0.0;0.0;617;0;0.0;0.1423;246;164
writing;22;0.01;1;2.599999905;0.096296293;0.005128205;507;1;2.599999905;0.22;100;27
wrinkles;89;0.012;3;248.747097015;4.216052492;0.187027892;1330;3;248.747097015;0.3477;256;59
wrinkle;66;0.0;0;0.0;0.0;0.0;1317;0;0.0;0.3188;207;72
wrestling;7;0.0;0;0.0;0.0;0.0;441;0;0.0;0.0464;151;93
wreck room;60;0.0;0;0.0;0.0;0.0;1348;0;0.0;0.2532;237;68
wrap;28;0.0;0;0.0;0.0;0.0;589;0;0.0;0.2456;114;64
wow;12;0.008;1;87.93119812;1.085570347;0.187486563;469;1;87.93119812;0.0968;124;81
world springs;14;0.0;0;0.0;0.0;0.0;2214;0;0.0;0.0321;436;187
world spring;5;0.0;0;0.0;0.0;0.0;495;0;0.0;0.0538;93;58
world spa;130;0.003;3;59.389701843;0.174163349;0.010770711;5514;3;59.389701843;0.1405;925;341
world;61;0.012;6;83.785300732;0.193053688;0.057465913;1458;5;69.438100338;0.1227;497;434
workshop;36;0.0;0;0.0;0.0;0.0;988;0;0.0;0.2057;175;61
workouts;18;0.01;1;-0.441000015;-0.023210527;-0.000922594;478;1;-0.441000015;0.18;100;19
workout clothes;9;0.0;0;0.0;0.0;0.0;774;0;0.0;0.1154;78;12
workout classes;79;0.0;0;0.0;0.0;0.0;1535;0;0.0;0.378;209;53
workout class;56;0.0;0;0.0;0.0;0.0;1503;0;0.0;0.2557;219;68
workout;415;0.001;3;91.454898834;0.154746022;0.006952102;13155;3;91.454898834;0.1928;2152;591
work out classes;12;0.018;1;25.099199295;2.28174539;0.061517645;408;1;25.099199295;0.2143;56;11
work out;16;0.0;0;0.0;0.0;0.0;1275;0;0.0;0.0648;247;94
work;2;0.0;0;0.0;0.0;0.0;676;0;0.0;0.0075;268;245
word;229;0.061;27;263.031999111;1.190190041;0.130213861;2020;26;251.522799015;0.5158;444;221
wor;3;0.0;0;0.0;0.0;0.0;749;0;0.0;0.0098;306;287
woodlands;14;0.014;1;4.716100216;0.262005568;0.009683984;487;1;4.716100216;0.1918;73;18
woodhouse spa;43;0.0;0;0.0;0.0;0.0;2052;0;0.0;0.1054;408;149
woodbridge;8;0.0;0;0.0;0.0;0.0;486;0;0.0;0.1127;71;15
wood working;11;0.0;0;0.0;0.0;0.0;413;0;0.0;0.1392;79;25
